,qids
249,Q30504299
391,Q42561352
438,Q47546472
494,Q45376370
748,Q43384585
1161,Q47853243
1247,Q53098903
1279,Q59503900
1330,Q47469449
1343,Q59600568
1550,Q6397235
1554,Q18625186
2138,Q22662263
2451,Q43177848
3024,Q28919319
3075,Q56417773
3101,Q21066685
3331,Q45360570
3652,Q20675903
3934,Q20793563
3975,Q16213260
4016,Q27527785
4057,Q55375208
4309,Q16194790
4858,Q5213066
4944,Q262174
5077,Q20684318
5558,Q21063870
6920,Q4805578
7017,Q21170898
7128,Q52918056
7258,Q52714447
7963,Q11935600
7969,Q16094198
8480,Q45196284
8537,Q4932932
9109,Q30511679
9337,Q27975662
9403,Q55356868
9930,Q16193340
10223,Q20779741
10727,Q52346665
11580,Q16901184
11850,Q39070330
12962,Q55264881
13112,Q18719084
13881,Q22006965
13993,Q17371213
14020,Q37810668
14032,Q55433224
14115,Q22326961
14533,Q56779481
14552,Q24572372
14973,Q50824661
14992,Q22773917
15080,Q18670599
15217,Q6701886
15371,Q6143486
16101,Q6789554
16259,Q53855478
16292,Q19663990
16551,Q27663321
16966,Q41805383
17207,Q13562006
17445,Q20793002
17926,Q6724244
18058,Q33112573
18325,Q12968077
18618,Q54086317
19376,Q18593559
19463,Q18544804
19548,Q4888773
19814,Q7340241
20064,Q24557940
20572,Q56290261
21187,Q12964369
21274,Q19564475
21660,Q10307814
21890,Q18544806
22158,Q7156663
23999,Q26923483
25063,Q6491163
26195,Q32541645
26969,Q18813342
27137,Q58619992
27378,Q20685068
27569,Q7150008
27727,Q16671418
27785,Q19844522
28220,Q18685621
28550,Q27037834
28699,Q18358388
28877,Q1680058
29169,Q12968071
29705,Q56036804
30122,Q59553641
30603,Q7368845
30682,Q23770420
30760,Q17306156
30944,Q4701783
31387,Q6795936
31393,Q20676394
31509,Q15433961
31575,Q18619565
31830,Q21004839
31934,Q55138464
32254,Q45362437
32366,Q5539647
32617,Q5262070
32939,Q6380657
33163,Q4682366
33465,Q23542560
33750,Q16214534
34377,Q27830794
34709,Q29479504
34934,Q45477447
35049,Q16091530
35144,Q18098325
35669,Q55080936
35932,Q16730683
36108,Q30608357
36115,Q4290819
37250,Q59306402
37506,Q11332308
37522,Q19666591
39009,Q15109708
39435,Q56062961
39655,Q22278669
39762,Q56733832
40503,Q19518118
40536,Q1394656
40607,Q20685318
40696,Q6067150
40747,Q16211781
41354,Q58096624
41622,Q16208230
41803,Q21005723
42627,Q7369442
42685,Q10393708
42958,Q22944815
43316,Q12968068
43452,Q28317052
43510,Q58008068
43681,Q19948338
44714,Q27995999
45160,Q16733626
45578,Q54368067
45638,Q18631306
45784,Q20658351
46278,Q52889702
46459,Q16150544
46925,Q7815288
46998,Q50624550
47661,Q6830804
47748,Q47030051
47878,Q7804260
47973,Q51853156
47999,Q55819855
48012,Q19596717
48288,Q21664727
48371,Q12969763
48761,Q12967132
49063,Q57292304
49217,Q6114545
49568,Q19938146
50401,Q17239014
50567,Q59209387
51277,Q12054695
51429,Q24994006
52127,Q47026560
52572,Q52899087
52673,Q10307876
52732,Q12961604
53566,Q27527321
53619,Q19560270
53930,Q58215428
54023,Q24048971
54198,Q16251870
54232,Q45060868
54902,Q23541068
55439,Q30323483
55529,Q20744643
55640,Q18685553
56001,Q7237391
56176,Q22105889
58283,Q7290631
58672,Q19948002
59076,Q22110845
59078,Q19956239
59308,Q44547917
59328,Q24053448
59480,Q22906646
61340,Q12962855
61550,Q39053608
62538,Q3013810
62605,Q54624101
62689,Q22277497
63082,Q6828194
63320,Q16241735
64136,Q27832753
64494,Q7383864
65412,Q1503026
65501,Q5345014
65785,Q48473009
66133,Q44641480
66885,Q6788945
67099,Q52890741
68026,Q29050640
68458,Q6228035
69282,Q7121589
69317,Q26702997
69333,Q17098611
69895,Q16136478
71388,Q43131482
71857,Q24743168
72022,Q47396163
72606,Q4935098
72928,Q48272574
73845,Q6369912
73853,Q29613546
74108,Q10281545
74150,Q55670441
74758,Q27244486
75037,Q4683067
77085,Q55459081
77632,Q24682609
78570,Q16728136
79056,Q18684708
79641,Q45390365
79863,Q33100715
80631,Q23614102
81036,Q17386112
81066,Q59094068
81658,Q5107273
82070,Q12963757
82449,Q33093747
82728,Q30501833
82806,Q58100132
83760,Q58468139
83882,Q20793559
83922,Q52835519
84665,Q6491013
85519,Q50409097
85529,Q27655886
87140,Q38013878
87150,Q4799405
87207,Q55081421
87619,Q12962551
88471,Q59162356
88707,Q41694248
89353,Q19845144
90528,Q48946051
90912,Q5334909
91013,Q5304354
91382,Q22113730
91627,Q4828459
91783,Q16875125
91842,Q10329450
92383,Q19878527
92420,Q4699775
92440,Q52556444
92454,Q17026795
92581,Q17371033
92970,Q7331653
93077,Q7171982
93916,Q5372382
94401,Q17371133
94466,Q5113349
94510,Q19868878
95231,Q17627805
95459,Q22956858
95673,Q20880770
95883,Q11113829
95949,Q7396712
96480,Q58213415
96495,Q22323487
96848,Q10326584
97928,Q29833715
98400,Q52162070
98953,Q7407372
98999,Q22121102
99108,Q29931061
100310,Q10346351
100706,Q56222373
101135,Q22773650
101204,Q24005510
102446,Q5221628
102685,Q55214383
103396,Q3618520
103397,Q23017146
104042,Q18390632
104352,Q41563649
104850,Q28062448
104976,Q17319046
105587,Q59203754
105755,Q28869658
106038,Q56651163
106828,Q49561393
107071,Q58040343
107504,Q23541301
108549,Q17371095
108617,Q56043293
108845,Q56513386
108943,Q22908472
109290,Q52084593
109294,Q7283583
109340,Q7499416
109618,Q239521
109657,Q27527168
110543,Q47087992
110654,Q7176536
110953,Q30414875
111909,Q21153495
112350,Q3158783
112388,Q39659063
112901,Q47544187
114301,Q17612838
114532,Q45419411
114577,Q42336733
114853,Q22116508
115091,Q47026736
116286,Q55236236
116846,Q47509200
117082,Q4725271
117101,Q5106811
117712,Q29938835
118277,Q53870586
118333,Q48699681
119256,Q59179735
119761,Q45594361
119776,Q55624257
120604,Q44307090
120722,Q59583495
121787,Q29786672
121982,Q58009819
122422,Q22279801
122446,Q3487190
124578,Q47011847
124885,Q23888407
124928,Q4281752
126131,Q16982026
127244,Q21066363
128500,Q29045615
129733,Q16206393
129749,Q25040760
129807,Q39664164
130627,Q5292434
130894,Q55080919
131737,Q54170557
133522,Q55065393
134740,Q21461717
135817,Q41796379
136648,Q19873549
136800,Q2849590
137372,Q20676299
137445,Q55759626
137498,Q19866960
137615,Q20630497
137665,Q16736778
137817,Q45469391
138336,Q59286537
138419,Q47120281
138459,Q23073529
139593,Q19043392
140474,Q19802931
140975,Q6451385
141119,Q20559254
141205,Q17385579
141270,Q16886468
141857,Q20714751
142400,Q16210524
142550,Q50843991
143417,Q58007949
143662,Q20606852
143859,Q5097027
144013,Q5239728
144104,Q20588050
144322,Q21934365
144619,Q24007240
144926,Q4805153
145064,Q55347730
145124,Q18686319
145663,Q16214190
145769,Q12962702
145849,Q16215313
145951,Q16116517
146498,Q17634947
146581,Q24049116
147172,Q27978920
147401,Q6396439
147772,Q21067094
147985,Q12970030
148175,Q22077957
148770,Q18593616
149376,Q6196339
149406,Q22956844
149672,Q16214544
149769,Q47130251
149972,Q17104505
150511,Q23765691
150972,Q27972624
151420,Q24034409
151922,Q16731923
152048,Q33003649
152614,Q58174781
153637,Q21642968
153671,Q23884114
154437,Q18344375
154838,Q2866563
155459,Q45355323
157168,Q12963626
157211,Q5181180
157348,Q16548805
157407,Q21005257
157841,Q8039492
158433,Q26436216
159226,Q6810910
161071,Q47451360
161617,Q17712343
162696,Q20685490
163798,Q30592773
164421,Q59240358
164473,Q51129927
164542,Q53844404
164960,Q52586076
165007,Q27733775
165123,Q58411913
165367,Q8003018
167417,Q30612335
168609,Q6409574
169271,Q7803891
170327,Q53870540
170515,Q16240321
170669,Q3016007
172398,Q55361194
172856,Q21288897
173013,Q54860899
173321,Q16727394
173434,Q42907366
174218,Q16303046
175276,Q30084306
176615,Q17232787
176755,Q52009801
176761,Q25171701
177329,Q10346288
179421,Q56678180
180969,Q22958605
181335,Q55584358
183084,Q45402507
183432,Q22957683
183522,Q28131360
184736,Q58174141
184757,Q6835516
185162,Q27914157
185388,Q20677106
185749,Q16974376
186738,Q27058327
187024,Q20810533
187053,Q57320837
187961,Q23023489
188222,Q24525359
188358,Q12969880
188429,Q4822960
188750,Q30295916
188894,Q29033472
189040,Q55138220
189416,Q44759726
189789,Q20675899
189838,Q6845821
190122,Q42888630
190998,Q1309572
191154,Q26211798
191377,Q59191873
191385,Q12499365
192799,Q28839888
192825,Q27063998
193923,Q5229379
194232,Q55432918
194613,Q12968989
195514,Q47360577
197293,Q32542279
198781,Q6700022
199544,Q24851488
199870,Q55196717
200936,Q22349779
201222,Q20984440
201312,Q58346976
201915,Q28824231
201939,Q27514604
202724,Q37993323
203142,Q19872309
203510,Q58795757
203724,Q43381149
204258,Q24833576
205497,Q24238544
206469,Q55489052
206505,Q45486794
207026,Q15906972
207861,Q30888099
208618,Q55876608
209021,Q45419858
209835,Q38327932
211608,Q7789021
211896,Q7819180
212578,Q33044317
212779,Q21471136
213506,Q5129904
213818,Q7786823
214210,Q54016013
215032,Q16185597
215295,Q29642741
215911,Q19757498
217876,Q55767515
219847,Q50038449
221435,Q15485047
222227,Q11382107
223628,Q38023167
224061,Q16584665
224565,Q13183461
225385,Q7360481
226125,Q16733300
226168,Q28940879
226346,Q5750755
226798,Q48699559
226862,Q33444641
227009,Q16147036
227289,Q16147857
227474,Q16730287
227510,Q16208707
227993,Q19667623
228398,Q19895791
228731,Q4716659
228958,Q16730712
229574,Q10316408
229804,Q21038113
230447,Q4977730
230872,Q55081453
231349,Q56064736
232503,Q5767528
232649,Q35363545
232888,Q19325076
233033,Q16203907
233161,Q52627474
234148,Q55940256
235258,Q23304240
235300,Q22320790
235325,Q37992925
235573,Q56811986
235851,Q16199769
236070,Q16081992
236132,Q58494522
236346,Q53870545
237013,Q16237028
237129,Q47113508
237275,Q52909931
238319,Q6074811
238419,Q7301879
