,male,female,others,wrong,noInfo,noMeta,unknown,all
1,2731,531,3,0,27,9,1603,4904
2,4061,948,10,0,39,37,2414,7509
3,4780,1023,12,0,40,43,3168,9066
4,6746,1508,15,0,40,40,4386,12735
5,119517,22358,277,0,1345,744,78206,222447
6,73052,15460,122,0,863,501,48166,138164
7,148747,30304,287,0,1886,955,94438,276617
8,145052,28394,515,0,1607,1240,97636,274444
9,196851,38331,374,0,2021,1901,120812,360290
10,293140,59254,533,0,3430,2000,190065,548422
11,273108,54560,443,0,2994,2008,174909,508022
12,343606,67185,341,0,3728,2405,220797,638062
13,328688,67669,598,0,4113,2060,212929,616057
14,338005,65846,437,0,4389,2399,222038,633114
15,302872,58688,597,0,3795,2347,203823,572122
16,297521,60420,902,0,3833,2365,201180,566221
17,333413,65758,1116,0,4034,2093,218998,625412
18,308244,61619,947,0,3821,2676,202595,579902
19,305924,61856,938,0,3878,2429,202251,577276
20,293878,58142,1089,0,3851,2427,195711,555098
21,279741,55597,401,0,3685,2187,182650,524261
22,292164,61472,533,0,3976,2013,195624,555782
23,305655,65091,630,0,3558,2142,200736,577812
24,302777,58412,886,0,3680,2144,194563,562462
25,297503,58686,772,0,3535,2272,193363,556131
26,276610,58587,677,0,3507,1986,180313,521680
27,252449,50797,443,0,3527,1919,169155,478290
28,280726,57622,692,0,3357,2040,184832,529269
29,300788,59584,820,0,3649,2066,198893,565800
30,343283,66589,964,0,4353,2126,216270,633585
31,335602,62183,811,0,4077,2721,213696,619090
32,329039,62759,725,0,4140,2338,215739,614740
33,331438,63631,505,0,4301,2762,223553,626190
34,325687,61962,528,0,4078,2253,226174,620682
35,319198,60104,752,0,4015,2205,215029,601303
36,306336,60922,736,0,3582,2192,195607,569375
37,370190,75289,958,0,4712,2745,240202,694096
38,347984,70230,581,0,4211,3216,223124,649346
39,354990,66085,1078,0,3962,2519,220764,649398
40,359419,69056,1155,0,4230,2864,231875,668599
41,347415,71407,1390,0,4031,2796,229175,656214
42,355940,73030,829,0,4632,2535,231327,668293
43,349456,69171,1229,0,4401,2473,226775,653505
44,339425,68146,950,0,4045,2418,220328,635312
45,362495,71150,1587,0,4337,2710,238200,680479
46,333530,68763,1175,0,3756,2563,214472,624259
47,277257,53744,614,0,3324,1931,178755,515625
48,300284,61088,463,0,3493,2244,190087,557659
49,335715,67977,616,0,4082,2598,222128,633116
50,314094,63466,417,0,3971,2486,206121,590555
51,264523,51106,544,0,3435,1775,176524,497907
52,192154,32858,321,0,2321,1124,126111,354889
53,0,0,0,0,0,0,0,0
sum,14203803,2816418,34338,0,173697,105042,9278290,26611588
