,male,female,others,wrong,noInfo,noMeta,unknown,all
1,67089,9736,123,0,576,319,39696,117539
2,200940,32726,327,0,2296,1250,121896,359435
3,220085,38426,430,0,2319,1572,135815,398647
4,223480,40393,371,0,2409,1627,137456,405736
5,229602,41393,476,0,2546,1491,140813,416321
6,224153,40135,610,0,2433,1548,142800,411679
7,225630,42256,700,0,2330,1400,141859,414175
8,223016,38981,304,0,2470,1437,137714,403922
9,241286,42198,302,0,2504,1459,143773,431522
10,233629,43467,322,0,2525,1475,144703,426121
11,237000,41278,407,0,2465,1601,143006,425757
12,237553,42232,395,0,2361,1534,141819,425894
13,237748,41257,400,0,2348,1399,142936,426088
14,212789,37356,378,0,2464,1321,134038,388346
15,217343,38633,257,0,2614,1397,135277,395521
16,226935,41176,520,0,2504,1551,140419,413105
17,179753,33376,1093,0,1889,992,110765,327868
18,69960,12766,481,0,863,359,42453,126882
19,126550,23605,263,0,1295,748,78880,231341
20,177641,32854,369,0,1895,943,112125,325827
21,176673,32155,525,0,1900,1298,109774,322325
22,138941,25646,195,0,1606,969,85625,252982
23,36168,6760,149,0,356,218,21897,65548
24,172955,33543,667,0,1835,1046,110711,320757
25,169867,31153,615,0,1885,1107,105442,310069
26,151730,28578,570,0,1740,847,91892,275357
27,15085,2939,42,0,183,83,9152,27484
28,10994,2439,32,0,125,51,6788,20429
29,263845,52570,1759,0,3092,1851,165359,488476
30,263810,49120,1101,0,3339,1670,166487,485527
31,273850,49815,992,0,3181,1996,166904,496738
32,275123,50038,752,0,3065,1680,164038,494696
33,265704,48912,909,0,3029,1553,162055,482162
34,263558,47203,839,0,3061,1762,164755,481178
35,271724,48747,1050,0,3078,1951,169035,495585
36,269265,47727,1210,0,3165,1685,167781,490833
37,270842,48538,873,0,3002,1692,158818,483765
38,291857,54041,760,0,3169,2163,174372,526362
39,293045,53365,684,0,3468,1968,178815,531345
40,299476,53460,698,0,3141,2086,172675,531536
41,303156,54732,574,0,3377,1710,177595,541144
42,305288,55993,421,0,3436,2133,181599,548870
43,297343,53816,557,0,3351,2248,178588,535903
44,315194,56477,688,0,3644,2117,188955,567075
45,314778,56513,557,0,3492,2390,189849,567579
46,304543,56158,744,0,3291,2109,179139,545984
47,148391,26387,425,0,1770,923,83166,261062
48,151957,24636,261,0,1732,1095,88785,268466
49,307934,57474,500,0,3229,2282,183713,555132
50,306010,55817,883,0,3285,2138,183921,552054
51,283966,50742,634,0,3413,2080,169553,510388
52,189847,31247,378,0,2255,1224,115246,340197
53,128533,19148,229,0,1342,779,75573,225604
sum,11543634,2080133,29801,0,128143,76327,7016300,20874338
