,male,female,others,wrong,noInfo,noMeta,unknown,all
1,2513,551,10,0,16,5,1355,4450
2,2820,634,6,0,41,15,1697,5213
3,2852,701,5,0,18,9,1727,5312
4,3408,803,7,0,38,60,2083,6399
5,4008,887,9,0,33,34,2546,7517
6,93558,17764,138,0,955,587,58148,171150
7,311858,59100,526,0,3352,2122,194825,571783
8,157237,31456,237,0,1904,1086,98728,290648
9,2929,650,27,0,38,8,1969,5621
10,3031,742,6,0,41,27,2045,5892
11,3067,693,12,0,35,7,1897,5711
12,3389,837,24,0,32,27,2089,6398
13,3572,1024,23,0,43,16,2314,6992
14,4098,1050,8,0,42,46,2630,7874
15,8034,1684,18,0,54,82,4947,14819
16,288848,55628,585,0,3472,1954,179735,530222
17,302649,55780,618,0,3460,2023,190094,554624
18,267738,50694,395,0,3164,1780,165693,489464
19,297120,58341,619,0,3663,2192,191041,552976
20,288915,56388,747,0,3472,2119,184737,536378
21,285031,53611,398,0,3389,1948,179936,524313
22,74141,14218,111,0,957,496,45916,135839
23,4137,864,6,0,40,21,2454,7522
24,4712,905,10,0,34,21,2632,8314
25,5472,1219,15,0,51,54,3213,10024
26,116524,24364,268,0,1402,941,74626,218125
27,251971,51577,519,0,2897,1662,159207,467833
28,276505,55387,325,0,3553,1756,179968,517494
29,296215,61622,680,0,3582,2138,192266,556503
30,258679,56023,582,0,2955,1571,167803,487613
31,286277,57270,777,0,3169,1935,174299,523727
32,264079,56707,645,0,3150,1723,167314,493618
33,293435,60937,552,0,3538,2011,191779,552252
34,284501,55817,487,0,3558,2100,186044,532507
35,291466,54153,476,0,3542,1861,189778,541276
36,303690,58345,479,0,3488,1790,190356,558148
37,317643,62716,896,0,3369,2302,199714,586640
38,329235,61944,821,0,3825,2616,208576,607017
39,272342,53273,546,0,3473,1905,170675,502214
40,2712,760,7,0,53,12,2004,5548
41,2945,770,12,0,34,24,2028,5813
42,3050,920,8,0,49,21,2207,6255
43,3656,840,21,0,51,33,2387,6988
44,4035,1071,7,0,48,34,2720,7915
45,4343,971,4,0,44,42,3069,8473
46,5689,1167,12,0,78,36,3711,10693
47,5150,1337,21,0,63,58,3386,10015
48,196273,36965,268,0,2218,1161,125930,362815
49,297847,55261,433,0,3498,1930,186880,545849
50,285381,51205,343,0,3351,1844,179021,521145
51,224224,41386,253,0,2732,1605,147521,417721
52,167887,29126,306,0,1913,1053,106225,306510
53,21080,3083,24,0,202,108,11470,35967
sum,7491971,1461221,14332,0,88179,51011,4755415,13862129
