,qids
560,Q5534087
682,Q10346288
873,Q55433224
945,Q55767519
1070,Q23008875
1373,Q17194287
1475,Q20793563
1768,Q56676327
2245,Q1680058
2552,Q42393937
2688,Q4725271
2708,Q48472686
3951,Q3158783
4500,Q21693675
4640,Q16671418
4834,Q16548805
5151,Q58322818
6040,Q18813342
6446,Q6406830
6812,Q55361194
6860,Q10307876
7186,Q29382427
7190,Q16104447
7355,Q6795936
7656,Q4910590
7968,Q24557940
8371,Q44307090
8497,Q47034642
8557,Q10329450
8572,Q24963343
9117,Q58096624
9194,Q24702862
9654,Q21063870
10166,Q18098325
10405,Q56087521
10440,Q39664164
10779,Q5107856
10872,Q56558120
11002,Q18685553
11184,Q6769289
11191,Q24248215
11259,Q16214190
11376,Q59600568
11950,Q16094198
12246,Q54368067
12526,Q3973426
12596,Q47162916
12615,Q59203754
12635,Q19854454
12864,Q47360577
12940,Q58411913
12970,Q20676394
13003,Q12965174
13265,Q16225659
13325,Q55760246
13480,Q42336733
13642,Q41804598
14035,Q1309572
14123,Q57339523
14358,Q25171701
14851,Q19620561
14953,Q1394656
15088,Q24833576
15129,Q20744643
16105,Q28791465
16403,Q26705118
17168,Q18126336
17218,Q30084306
17365,Q32541645
17549,Q21266581
17920,Q18719084
18755,Q20559254
19024,Q54821005
19377,Q21066363
19584,Q18593559
19777,Q39060599
20639,Q58303042
21005,Q6791011
21274,Q50801181
21371,Q6724244
21434,Q22006965
21630,Q39700559
22171,Q19665681
22339,Q16728843
22632,Q22773917
22809,Q11332308
22813,Q16211624
22865,Q26097618
23071,Q50824661
23947,Q2010
24182,Q47794445
24351,Q15109708
24792,Q38023167
24884,Q5107734
25748,Q17026795
25777,Q38187851
25830,Q26211798
25966,Q16229394
26193,Q12961592
26669,Q20676299
27181,Q23783511
27324,Q16213260
27456,Q48473009
27466,Q40395705
27920,Q6114545
29232,Q37993368
29744,Q12972000
30109,Q29452421
30588,Q16730287
30734,Q17313479
31278,Q21664674
31753,Q47130251
31800,Q55375203
31861,Q17371133
31948,Q22944815
32028,Q20984440
32139,Q47087992
32262,Q10270737
32522,Q5240909
33149,Q6183349
33367,Q5106811
33593,Q50379475
33752,Q55759626
35122,Q16214534
35193,Q5539647
35265,Q45419397
35290,Q18062149
35313,Q51048252
35521,Q47114873
37682,Q57283298
38564,Q45360570
38703,Q52084593
38834,Q56513386
39228,Q6388068
39979,Q16886468
40453,Q47174417
40625,Q28530135
41007,Q54860680
41445,Q3618520
41700,Q29349926
41791,Q59306405
41827,Q51776419
42184,Q47162910
42369,Q21547224
42479,Q21153495
42540,Q17239014
42582,Q44641480
42757,Q19519972
42915,Q28871541
43340,Q18631306
43474,Q23023489
44387,Q55962188
44488,Q4822960
44765,Q5301688
44947,Q37392117
45539,Q29050640
45656,Q5924788
45840,Q16198371
46559,Q24005510
46653,Q59209387
46872,Q21066685
46943,Q4977730
47571,Q42561352
48170,Q48471382
48543,Q42907366
48605,Q6557791
49491,Q18358388
49536,Q19596581
49584,Q30645239
49940,Q18344375
50043,Q21002892
50070,Q27734203
50384,Q52909931
50905,Q56254511
51051,Q6285216
52306,Q7680795
52352,Q58008068
52367,Q28919319
52724,Q4730799
52751,Q20630497
52909,Q58619992
53562,Q50562040
53585,Q20746595
53876,Q5232493
54057,Q7436600
54297,Q6829681
54325,Q25189629
54456,Q7831737
55322,Q16586627
55936,Q6381533
56252,Q7025161
56498,Q52899087
56589,Q19325076
57195,Q16116517
57574,Q21462044
58286,Q4805153
58560,Q48699681
58813,Q27663321
59124,Q59387166
59215,Q52346665
59968,Q27975618
60084,Q7495387
60413,Q19948002
60424,Q24007240
60580,Q20793559
60685,Q58012044
60697,Q7490250
60899,Q4935457
61180,Q50934852
61355,Q20685490
61707,Q52222224
62430,Q1688230
62548,Q44809488
63064,Q23879746
63978,Q16150544
65884,Q35703269
66049,Q4317792
66454,Q33977579
67154,Q58012035
67178,Q42940911
67214,Q16199462
67633,Q41796379
68190,Q10396882
68852,Q53870586
70330,Q52617623
70406,Q18685633
70448,Q20744975
71325,Q16567113
71679,Q5549672
71976,Q25095633
71988,Q16194762
72757,Q29479504
72771,Q56249812
73900,Q27656831
74042,Q6810910
74153,Q30348899
75197,Q39659063
75674,Q23765691
75813,Q5536799
76308,Q6491013
76612,Q6146968
76731,Q5218436
77158,Q19868878
77783,Q22121102
78224,Q47492922
79495,Q58836931
79709,Q16935151
79779,Q19043392
81094,Q12962849
81131,Q5068702
81803,Q7704849
82302,Q6813463
82570,Q54849732
83145,Q55760594
83407,Q41964707
83845,Q56957185
85697,Q16194790
85804,Q50300578
86128,Q24455633
86289,Q57515773
87273,Q20631165
87817,Q21592511
87923,Q27429810
88227,Q30323483
88357,Q40539380
88431,Q26436216
89205,Q27733775
89321,Q54860899
89425,Q19518118
89575,Q16733300
90258,Q4899445
91395,Q2849590
92612,Q25095549
92716,Q45519081
93342,Q45196284
94205,Q239521
94213,Q45451436
94218,Q56724042
94662,Q20675513
95135,Q6166435
95187,Q12268894
95942,Q37841252
96286,Q47120281
96635,Q7488264
96652,Q43252447
96720,Q10393708
98299,Q19666593
98937,Q16203907
98945,Q8003018
100331,Q30337200
101139,Q28421702
101469,Q23018021
101703,Q4216915
101777,Q21064611
102206,Q5107273
102399,Q22957013
102699,Q10307814
102897,Q6833466
103303,Q52147431
103443,Q21064607
105057,Q24053669
105155,Q5225106
105271,Q41187865
105922,Q43381149
106082,Q7152054
106385,Q27662322
106706,Q12962702
107539,Q58796860
107638,Q12964369
107707,Q57292304
108190,Q52162070
108395,Q55183481
108525,Q20684301
109032,Q18385836
109116,Q42689166
109604,Q28062448
109618,Q6768649
109732,Q6370006
110721,Q23771654
112170,Q17486457
112804,Q5239728
113024,Q11935600
114178,Q17510176
115075,Q19660902
115134,Q33100715
115140,Q28555064
115618,Q17306156
116322,Q7026789
117672,Q4772468
118002,Q16303046
118159,Q262174
118494,Q55238323
121363,Q19956158
122346,Q21177874
122529,Q51401804
123232,Q56043293
123543,Q45422794
123994,Q55375208
124715,Q47546472
125011,Q41805383
126389,Q6834402
127112,Q18249336
127686,Q5539608
127902,Q59162356
128775,Q6257554
129091,Q6773364
129637,Q7396712
129725,Q55940256
130882,Q52581164
131890,Q19629586
132694,Q43131482
133409,Q11299180
133496,Q54624101
133502,Q56811986
133592,Q35785004
133671,Q2330033
133817,Q24890946
133824,Q57040821
133972,Q58146423
134034,Q16732472
135269,Q15983449
135855,Q20640933
135979,Q20684464
135994,Q49814108
136844,Q29786672
137816,Q27058327
138053,Q6789554
138573,Q20643218
138709,Q7309965
139925,Q24053448
140537,Q43901061
140790,Q19662341
141645,Q5429499
142539,Q4953895
142772,Q40854231
143525,Q21461717
146469,Q3376478
147392,Q19872309
147725,Q24005082
147882,Q18921494
148826,Q22277561
149280,Q50392722
150017,Q55196717
150190,Q47011928
150815,Q30643580
152146,Q55081303
152262,Q20830255
152533,Q21064482
152541,Q50843991
152616,Q13560420
153205,Q7150008
153518,Q56065292
153789,Q57082123
154011,Q19956239
154401,Q3487190
154446,Q12965150
154551,Q28086246
154703,Q57078329
155172,Q1031604
155421,Q21005257
155476,Q6527751
155846,Q58040124
156053,Q20604853
156395,Q38641177
156823,Q54920234
157527,Q24874011
158105,Q5247839
159132,Q16875125
159294,Q48699559
159585,Q20793539
160270,Q14950790
160528,Q56779481
161267,Q5240021
161458,Q6369853
161652,Q58918456
161810,Q45477447
161894,Q19866960
162088,Q56275125
162699,Q6212058
163482,Q17319046
163887,Q6776750
164391,Q21064384
165851,Q56417773
166084,Q46508957
166506,Q16251870
166730,Q22344342
167065,Q30231849
167080,Q16728075
168720,Q7791324
168943,Q8991932
169203,Q16599847
169379,Q17712343
169752,Q7807160
170121,Q56460508
170193,Q51387401
170589,Q21016477
172475,Q55356868
172655,Q28709448
173531,Q29642741
173672,Q27535301
173882,Q54560028
174638,Q22323487
175048,Q50345446
176404,Q50413875
176956,Q55584922
177011,Q18625186
177434,Q23883048
177570,Q22097149
178679,Q27926005
178864,Q7237391
179256,Q19596717
180425,Q5262070
180823,Q45373946
181166,Q12969763
181596,Q42603655
182926,Q6074811
183391,Q57584859
183794,Q6950238
184648,Q56868020
184683,Q27662739
185087,Q7185819
185569,Q51120326
185724,Q57307186
185861,Q6769001
186451,Q24851488
187787,Q18044592
187841,Q47708093
188373,Q4932305
188635,Q16194590
189378,Q6067150
190603,Q39070190
192522,Q24525359
193921,Q4980574
194530,Q45425726
195439,Q4761182
196103,Q55459081
197722,Q7595931
200539,Q30123025
202340,Q29621521
203168,Q20675899
204852,Q21064604
206917,Q22662263
206995,Q58007621
207253,Q16731923
208441,Q18704935
208736,Q33103821
208835,Q27469730
209308,Q16205709
209960,Q28013980
211029,Q29452996
212889,Q16196246
212916,Q4805615
213108,Q23771175
213267,Q41563649
213527,Q56701907
213846,Q56559148
214343,Q28100647
215633,Q16194492
215882,Q17517024
216653,Q18350542
217481,Q58174141
218586,Q27906174
218822,Q22965840
218909,Q2964655
219045,Q59240358
219097,Q16336240
219343,Q5693900
220076,Q50305395
220191,Q47119598
224126,Q48849505
224184,Q55814173
224290,Q38640471
224364,Q53855478
225246,Q7288883
225611,Q16901184
226238,Q23884323
227241,Q55619997
227495,Q16241262
227533,Q28076340
227740,Q47467665
228893,Q17371033
229260,Q19882056
230495,Q3018785
231178,Q19668640
231708,Q26997483
232232,Q16129069
232287,Q12962526
233138,Q37370613
237384,Q50365659
239499,Q44547917
240816,Q27531829
241680,Q17385916
243291,Q15433961
243693,Q16727440
244889,Q28317052
245162,Q52833715
245429,Q54559716
245619,Q16147857
245659,Q12962705
246414,Q16864815
246746,Q18393268
247547,Q37994823
247860,Q7301879
248776,Q7029134
249238,Q47113508
251158,Q20684448
251253,Q59306402
251437,Q57446311
251439,Q6380657
251538,Q20677106
251931,Q1002180
253377,Q30608357
254634,Q22277497
255246,Q5257761
256175,Q34028884
256237,Q5292151
256574,Q45594361
256646,Q4980064
256798,Q7418422
259171,Q39053608
259241,Q21497996
259866,Q16196562
260344,Q56733832
260616,Q30501961
262081,Q19661993
262812,Q19873549
262927,Q26234182
263896,Q16423610
264406,Q52556444
265411,Q33003649
266368,Q26251053
268055,Q50828479
268256,Q10506469
268314,Q50125103
269199,Q26897109
269444,Q42887063
271964,Q24005476
274024,Q6838307
274279,Q12967150
274795,Q29938835
275362,Q10316408
275751,Q27662553
276522,Q7491492
276771,Q8003871
278364,Q29448699
279616,Q58235310
280449,Q50807968
282093,Q26465423
283738,Q23808701
283752,Q22349938
284555,Q16224592
284579,Q47501264
285882,Q22906919
286072,Q10307821
286182,Q23664255
287116,Q7818037
287613,Q5716832
288015,Q4896379
290274,Q3187676
290326,Q6186719
290583,Q20740721
292678,Q19564475
293952,Q30070397
294771,Q23761882
296352,Q45478303
