,male,female,others,wrong,noInfo,noMeta,unknown,all
1,187891,39835,335,0,2596,1238,123473,355368
2,220875,48505,362,0,2932,1742,146693,421109
3,237262,56719,628,0,3319,1886,160913,460727
4,234008,55536,429,0,3183,1690,158543,453389
5,245303,55425,490,0,3352,1934,162872,469376
6,236842,59534,376,0,3199,1844,163025,464820
7,235169,54970,717,0,3096,1892,157159,453003
8,234917,53972,780,0,3162,1788,159841,454460
9,248700,55488,547,0,2944,2085,162002,471766
10,233566,59622,588,0,3398,1933,156808,455915
11,238435,52318,651,0,3332,1797,157976,454509
12,226781,53617,457,0,3100,1663,151029,436647
13,251657,58607,536,0,3344,1789,164378,480311
14,251230,60835,436,0,3422,1663,170351,487937
15,248284,56990,392,0,3343,1780,164085,474874
16,147316,33716,150,0,2011,1111,97101,281405
17,145504,33416,249,0,1881,951,94852,276853
18,238593,55364,597,0,3066,1997,162729,462346
19,235260,55615,500,0,3455,1978,159288,456096
20,233059,56369,498,0,3135,1936,161515,456512
21,237954,56806,492,0,3458,1722,162093,462525
22,223704,50773,564,0,3007,1498,149048,428594
23,230424,55461,803,0,3190,1649,156168,447695
24,231745,55290,810,0,3184,1452,156181,448662
25,230865,54732,725,0,3291,1796,157944,449353
26,200832,50215,556,0,3050,1386,135912,391951
27,165838,40113,379,0,2433,1199,115840,325802
28,186378,46213,608,0,2798,1407,130097,367501
29,178930,41772,383,0,2559,1531,120858,346033
30,155711,36783,375,0,2072,1344,104230,300515
31,181944,41570,466,0,2715,1261,120203,348159
32,205157,46196,577,0,3083,1673,138172,394858
33,199706,43999,663,0,2754,1403,133837,382362
34,204473,43734,596,0,2973,1662,139581,393019
35,207308,46382,531,0,2970,1462,142203,400856
36,218483,48148,563,0,3036,1692,144618,416540
37,232418,54212,643,0,3059,1523,152301,444156
38,228912,52034,626,0,3270,1600,152279,438721
39,230824,52049,640,0,3135,1710,151280,439638
40,234748,51214,693,0,3336,1982,154902,446875
41,229045,51807,670,0,3037,1689,154392,440640
42,238815,54345,415,0,3033,1822,156246,454676
43,232331,51449,732,0,3106,1909,150840,440367
44,232213,53159,530,0,3251,1561,151675,442389
45,237914,55227,469,0,3348,1630,161076,459664
46,233320,52062,400,0,3454,1639,155906,446781
47,235516,52836,701,0,3185,1871,155060,449169
48,197901,43342,471,0,2775,1437,133707,379633
49,223545,51441,614,0,3104,1611,150751,431066
50,211571,48305,371,0,2731,1329,142466,406773
51,197216,45966,462,0,2573,1295,132917,380429
52,120402,24724,234,0,1666,859,82592,230477
53,0,0,0,0,0,0,0,0
sum,11306795,2608812,27480,0,155906,84301,7580008,21763302
