,male,female,others,wrong,noInfo,noMeta,unknown,all
1,96028,19436,303,0,1130,702,64049,181648
2,194593,45089,411,0,2704,1385,133990,378172
3,205254,48481,550,0,2736,1542,142719,401282
4,209436,51474,469,0,3137,1590,141938,408044
5,224486,53239,488,0,3077,1812,155928,439030
6,220281,56340,367,0,3250,1603,153498,435339
7,220762,52981,606,0,3137,1710,152372,431568
8,180934,42583,392,0,2580,1344,123713,351546
9,173946,38841,377,0,2644,1480,115601,332889
10,157259,40835,321,0,2428,1250,105393,307486
11,160556,37060,448,0,2560,1318,105607,307549
12,163601,38434,492,0,2516,1423,100384,306850
13,156094,37076,568,0,2431,1391,92278,289838
14,144000,34199,402,0,2518,1298,84930,267347
15,130337,30265,245,0,2194,1014,75765,239820
16,88727,22075,216,0,1464,880,52679,166041
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0
sum,2726294,648408,6655,0,40506,21742,1800844,5244449
