,qids
103,Q6768649
243,Q16732082
317,Q5213066
539,Q27526941
1153,Q21063870
1360,Q22349938
1983,Q20746595
2975,Q5106811
3162,Q16730287
3442,Q24452280
3538,Q20984440
3797,Q19560270
4367,Q24053669
5045,Q22006965
5341,Q21622855
5708,Q22773917
5925,Q27942067
5980,Q47546472
6105,Q6789554
7099,Q58795663
7131,Q16116517
7172,Q59203754
7198,Q17712343
7332,Q55375208
7536,Q52918056
7611,Q44641480
7990,Q50934852
8001,Q27663321
8055,Q28967625
8501,Q20559254
8646,Q19325076
8775,Q27534574
8890,Q28203616
9152,Q42907366
9291,Q12499365
9408,Q7803891
9581,Q27655886
9660,Q22005708
10135,Q4805153
10262,Q50038449
11270,Q12964019
11341,Q20793563
11741,Q16728136
11827,Q16730683
12049,Q29045615
12387,Q27813777
12463,Q19043392
12535,Q25190144
12582,Q12964369
13192,Q5047636
13349,Q47542237
13361,Q20740862
13774,Q56036804
14065,Q21064482
14649,Q56701702
14862,Q57079105
15206,Q36053984
15828,Q21497996
16524,Q4725271
16777,Q59162356
16978,Q1309572
17170,Q52084593
17202,Q6257554
17343,Q16729980
17443,Q6172636
17610,Q30068125
17644,Q55616329
17922,Q24005510
18364,Q4802490
19183,Q12961592
19453,Q4714006
19740,Q16208707
19775,Q18393035
20518,Q7326084
20727,Q18670599
20742,Q28055436
20786,Q22944815
21061,Q42887063
21731,Q38172152
23722,Q45042554
23995,Q18630915
25867,Q19845144
26603,Q52150956
26737,Q23783511
26831,Q45593898
26867,Q18395300
28116,Q16671418
28419,Q3618520
28480,Q53997733
28941,Q21062358
29177,Q42305983
29362,Q41805383
29475,Q5298416
30400,Q18684708
30697,Q39053608
31480,Q19596581
32067,Q15109708
32491,Q50228731
32659,Q18685655
33173,Q3183347
33319,Q21642480
33338,Q24048971
33469,Q37007074
34704,Q15485047
34796,Q43381149
35951,Q21546692
36130,Q19518118
36467,Q23541068
36836,Q24988389
36848,Q6302529
37422,Q10306609
37522,Q53101400
37841,Q20793539
40052,Q58235310
40382,Q18249336
40688,Q7150020
40815,Q16733981
40940,Q10393708
41176,Q6162938
41729,Q11324613
41860,Q50314275
41911,Q56073314
42015,Q16728183
42210,Q6186719
42805,Q17580050
42818,Q16209558
42973,Q6388949
43060,Q3851513
43416,Q16728843
43465,Q16200434
43730,Q33190515
44077,Q17561493
44738,Q6766723
44907,Q58619992
45044,Q20744643
45383,Q21662985
45915,Q7348174
46040,Q25171701
46045,Q10326584
46949,Q22773650
47509,Q18029650
49847,Q29834127
50009,Q5924788
50317,Q12963757
50332,Q37836516
50369,Q20029939
50774,Q6196339
51011,Q5142018
51506,Q6768626
51735,Q4977156
51938,Q5262070
52696,Q52714447
53433,Q16214544
55303,Q55767458
55455,Q45355323
56173,Q55080949
56192,Q21545323
56484,Q6984060
56558,Q48177027
56572,Q6163204
56901,Q16094198
56999,Q27525794
57527,Q43901123
57688,Q29094577
58065,Q17712333
58412,Q16841833
58441,Q30323483
58473,Q3487190
59513,Q5488432
59836,Q16240321
60171,Q45025273
60337,Q22277616
60423,Q39664164
60780,Q7176536
61414,Q51858001
61549,Q5246316
61655,Q27995999
61760,Q12654199
61782,Q30084306
62098,Q5239728
63001,Q57515773
63132,Q26211798
63857,Q6074811
64418,Q20707150
65242,Q48868878
65455,Q23892581
65683,Q4953763
65910,Q21067092
66112,Q17198819
66337,Q42061153
66980,Q27063514
67040,Q56062961
67438,Q7804260
68080,Q24007466
68090,Q55433224
68928,Q21664674
68976,Q59168084
69413,Q32541645
70395,Q17385916
70868,Q22082702
70896,Q7340241
71051,Q12970080
71416,Q47539954
71784,Q3185865
72072,Q30592773
73552,Q6769001
74104,Q28109102
74179,Q18207579
74501,Q59191873
74630,Q7244225
74685,Q17385579
74703,Q54860865
74734,Q20676299
74885,Q58810684
75143,Q19878527
76711,Q21064611
77197,Q16547462
77458,Q12431122
77561,Q22344342
77967,Q5292575
