,qids
78205,Q16727857
78240,Q16186320
78764,Q54559716
79826,Q5229533
79929,Q57320837
80268,Q16732621
80749,Q22121102
82244,Q5336352
83290,Q42562126
83516,Q20630891
83948,Q21066984
85405,Q53098903
86579,Q3701357
87099,Q6769289
87682,Q38460915
87683,Q42561352
87734,Q23769889
87832,Q27733937
88501,Q23541301
89145,Q56275125
89303,Q19948338
89520,Q16729697
89881,Q55940256
90613,Q19872309
91019,Q3860101
91023,Q20675513
92867,Q55196717
93767,Q23761882
94071,Q22279801
94875,Q13534583
95204,Q6262946
95395,Q56254511
97104,Q42367185
97199,Q16214190
97315,Q16733671
97406,Q18126336
97721,Q5039027
97722,Q22957816
97938,Q28113025
98131,Q5107273
98203,Q56678520
98600,Q43901036
98754,Q16241757
99244,Q3023755
99275,Q16194492
99392,Q16733300
99640,Q22107348
99852,Q16735257
100088,Q7288134
100613,Q27454100
100772,Q17510176
100820,Q52899087
101611,Q16734026
101887,Q7326519
102104,Q6757646
102247,Q6394217
102687,Q16734876
102863,Q27067641
103283,Q23888407
103441,Q4964948
103816,Q47114873
103867,Q12094356
105111,Q10307876
106421,Q54086317
106794,Q22105889
106838,Q19873549
106938,Q16235790
107027,Q5247954
108473,Q16215595
108697,Q9204638
108795,Q56600140
108796,Q50379475
109221,Q42159783
110256,Q16150544
110723,Q40992404
111086,Q18813342
111475,Q15994227
111603,Q20676835
111764,Q44889075
112100,Q17517328
112383,Q5031679
113008,Q38187851
113042,Q10329450
113130,Q40283666
113486,Q16269433
114147,Q16251870
114300,Q58149938
115045,Q3376478
115051,Q29973388
115075,Q23418973
115267,Q22277497
115364,Q50624550
115828,Q29452536
116050,Q7407214
116121,Q21067094
116562,Q47812734
116822,Q12268894
116905,Q20685068
117223,Q4775850
117424,Q19866960
117757,Q3294027
117818,Q6834402
118445,Q28037474
119335,Q12963780
119458,Q58994832
119507,Q56460508
119903,Q24837939
120346,Q22095882
120560,Q17489728
121146,Q6261383
121695,Q40084709
122878,Q7327268
123135,Q27914157
123158,Q55584536
123992,Q7172020
124299,Q20685720
124393,Q11935600
125176,Q10390263
125205,Q18685621
125433,Q28940879
125628,Q7488264
125807,Q7279195
126309,Q6846495
126384,Q47011928
126674,Q5120589
127473,Q16201997
128125,Q43901043
128591,Q37996574
128885,Q18098741
129122,Q48473009
130676,Q7286352
131351,Q12962850
131788,Q22323487
132158,Q7368845
132765,Q45354738
132905,Q21005257
133002,Q55106131
133239,Q15433961
134172,Q58468139
134437,Q16843382
135432,Q20684464
135479,Q54577220
135983,Q56863937
136534,Q16213260
136845,Q14946781
137088,Q57078329
137718,Q16886468
137908,Q7491472
138420,Q7595931
138935,Q49814108
139085,Q24005476
139123,Q23008875
141655,Q6873425
141757,Q42888630
142073,Q16586627
142959,Q50365659
144181,Q21170898
144192,Q5716746
144475,Q11076027
144954,Q28924983
145439,Q12262690
145543,Q5214278
147165,Q58494714
147345,Q16193563
148999,Q21288897
149381,Q20676394
149866,Q16091530
149981,Q27995687
151564,Q47191492
151610,Q56289910
151661,Q29452421
152532,Q239521
152545,Q58494522
152575,Q38327932
152880,Q22906646
152956,Q27909572
152968,Q22908350
153313,Q7396712
153411,Q18062149
155025,Q24034409
155196,Q26997681
156923,Q22349779
157034,Q7495387
157059,Q22908472
157084,Q24052870
157315,Q45413410
157593,Q16215636
157798,Q45531007
158508,Q6813463
158723,Q6724244
158879,Q8068212
159158,Q7403300
159421,Q55641682
159709,Q16241602
159951,Q892815
160864,Q12968072
161186,Q27663063
161571,Q5415416
162329,Q7615796
162850,Q23884114
162852,Q7615369
163067,Q5107529
164140,Q30122027
164246,Q52586076
165668,Q5658350
166669,Q7051696
168063,Q20676351
168554,Q52162070
168712,Q16212850
169547,Q16193632
169855,Q37320842
170418,Q47087992
170935,Q7172007
171780,Q28924906
172071,Q5083042
172213,Q22019205
173502,Q43131482
174060,Q47501248
174104,Q52556201
174183,Q7288883
174551,Q30505136
175055,Q6764985
175210,Q5819966
175485,Q6810910
175641,Q10307814
175782,Q16194103
175836,Q29033472
176009,Q52555363
176656,Q45368033
177194,Q45688176
177685,Q26896997
178324,Q50811597
179735,Q16567033
181340,Q6146968
181883,Q16732472
181966,Q24702635
182712,Q6847195
183507,Q5125209
184179,Q456684
187296,Q29452174
190475,Q6426532
190596,Q22004817
191495,Q20650975
191577,Q20677106
191829,Q15713128
191943,Q18098325
192396,Q18619565
194045,Q6388325
195475,Q4980660
195936,Q10276343
196685,Q30144552
196777,Q27527168
196779,Q56043841
197807,Q6767115
198179,Q33093747
199294,Q10346351
199512,Q6795936
199562,Q39060599
199721,Q7286048
199794,Q18625186
200168,Q16241262
203044,Q21066363
203704,Q19667623
204567,Q55092460
207139,Q28555064
207967,Q7823754
208365,Q23071064
209961,Q20685543
210076,Q16736910
210976,Q2846547
211163,Q20685490
211177,Q56043317
211274,Q45421515
211692,Q11815396
211882,Q39070330
212424,Q6200159
213432,Q59387166
213891,Q5218436
214609,Q16215233
214796,Q17305688
215324,Q21064765
216701,Q5236273
217074,Q48472620
217818,Q58483727
218120,Q4664978
218163,Q22774568
218274,Q6968739
218501,Q4805615
218691,Q6829681
219321,Q6252554
219558,Q10346288
219834,Q5549719
219841,Q50738906
221300,Q20735787
221593,Q56733832
221802,Q7626352
223754,Q6451385
224675,Q19561051
224769,Q7917010
225127,Q4977730
226422,Q16909217
226867,Q42600106
227306,Q23712252
227437,Q27733775
227931,Q5539608
228737,Q29786672
229254,Q30643580
229537,Q58008839
230167,Q8039492
231677,Q16203149
231688,Q7817859
231796,Q20858032
232306,Q43933026
232417,Q16599847
233551,Q24565816
235201,Q16241735
235475,Q7490815
237419,Q29938835
238242,Q55584922
239018,Q10368390
239651,Q25189132
240995,Q5531247
241374,Q52008169
242262,Q4730746
243885,Q34345449
247960,Q6757589
249272,Q16225177
249456,Q12963555
249489,Q16203907
251039,Q5339973
251977,Q58795516
252428,Q24053454
252560,Q23417048
253398,Q16423610
253493,Q19259338
253499,Q31213382
253911,Q55347730
254377,Q5074740
254756,Q16186538
254913,Q5363622
254987,Q18344375
256963,Q57415380
257767,Q24061165
258505,Q43384585
259050,Q29540784
259116,Q6380657
259225,Q57293607
259420,Q6200053
259780,Q5224688
260132,Q16936998
260458,Q49117525
260852,Q12965150
262008,Q6830804
262074,Q15666483
262276,Q56246453
262922,Q27514604
264070,Q15983149
264819,Q39066558
265644,Q55267170
266551,Q52894103
266578,Q4822960
266825,Q17279975
267720,Q58098476
267834,Q18097364
268928,Q22280613
271426,Q56513386
272016,Q21170478
272821,Q57888939
275011,Q58411913
277093,Q30503529
277489,Q6396439
278076,Q23583775
278169,Q51387401
278533,Q7786823
278718,Q19043342
280004,Q58999162
280308,Q29447463
281598,Q45402507
281645,Q5431516
282296,Q20640933
283330,Q22110845
283989,Q27832753
284287,Q17523793
284350,Q20685159
285480,Q22908211
286830,Q5981438
287378,Q19661684
287853,Q18637391
288582,Q21693675
289645,Q21965064
290196,Q7363043
290246,Q17026795
292170,Q48700370
293487,Q48790821
294412,Q47815200
295019,Q4886037
295671,Q2590260
296493,Q37992925
296732,Q12596070
297377,Q47130251
297913,Q25752716
298106,Q16147857
298440,Q11861654
299189,Q21642726
299447,Q55758004
301257,Q6370006
301354,Q47141325
301547,Q55475655
303122,Q30347697
303325,Q19600674
305403,Q48272574
306911,Q17305671
307239,Q17385907
307811,Q21177874
308453,Q4772351
309452,Q50505575
310371,Q7029134
310535,Q28100647
310648,Q4773376
310684,Q3101100
310754,Q2964655
311071,Q58215466
311356,Q55633973
312123,Q28053179
312496,Q28823463
312739,Q19948002
313657,Q52222224
314781,Q40702890
317552,Q2964678
319153,Q16731923
319675,Q26911216
320059,Q39784171
321125,Q4935208
321899,Q24557940
323147,Q52452996
323873,Q6491013
324187,Q58836931
324658,Q24248217
324665,Q6233693
324843,Q3852269
326610,Q53101342
327874,Q12962855
328036,Q30110155
328119,Q45416282
328378,Q20740721
329038,Q19880690
329343,Q27525030
331123,Q27929676
331890,Q7704724
332011,Q47240977
332081,Q4828459
332571,Q7859944
332674,Q7323753
332829,Q56423670
334293,Q59510605
334425,Q27063035
335610,Q32542279
336580,Q7171982
336876,Q47708512
337052,Q5920648
337851,Q17224875
337915,Q16214534
338365,Q12507707
338372,Q45406631
338769,Q27662553
338864,Q54624101
338939,Q6833466
339118,Q51955164
340019,Q7348080
340667,Q5240909
340724,Q18593559
340858,Q5112601
341391,Q5292192
341789,Q17370955
341874,Q6788287
342503,Q6176170
344609,Q49739815
344814,Q19577556
345560,Q19595475
346142,Q16336240
346763,Q30788081
348230,Q21606977
349230,Q18394775
349853,Q21064607
350332,Q21544218
351786,Q16199647
352611,Q27744624
353205,Q27553537
354504,Q59223345
355210,Q16730991
355212,Q23892717
356519,Q23134857
358619,Q56433761
358775,Q7182010
359534,Q16237028
359690,Q17373135
360347,Q7025161
360650,Q19428876
361276,Q59268399
362148,Q5113349
362391,Q55081225
362418,Q16194790
362811,Q6794964
364027,Q48876936
364872,Q50824661
365079,Q19666593
365517,Q6067150
365942,Q42534002
366106,Q52556444
367353,Q4910590
367640,Q30608357
367763,Q16567113
367991,Q45413392
368185,Q20830255
368263,Q24731045
373208,Q5531264
373487,Q7237391
374232,Q19663022
374239,Q6501698
374355,Q38324843
375888,Q21451075
377654,Q38545656
379741,Q11299180
381061,Q47360577
381165,Q12964214
381333,Q20684248
381909,Q16875125
382693,Q42393937
384052,Q18226179
384514,Q25189191
386430,Q6397005
386861,Q4210514
387740,Q16194590
388987,Q56558120
391724,Q12683060
391831,Q29050640
392059,Q21462044
392072,Q12961604
394533,Q45594361
394569,Q7933825
395130,Q56191918
395317,Q56752496
395535,Q56417773
396907,Q2427481
397797,Q6388068
397945,Q4772468
398156,Q11113829
398359,Q3417576
400002,Q30122132
400494,Q47491479
400497,Q24765540
401915,Q16116207
402536,Q21064604
404500,Q22662263
404558,Q17098611
404591,Q51129927
404848,Q16983549
405030,Q21405543
405827,Q6660305
406007,Q25190178
406223,Q12962849
407835,Q6833509
409188,Q4711097
410581,Q16201467
410887,Q30604156
411847,Q11855782
411981,Q58145977
414816,Q1111566
415160,Q6770289
415331,Q19873681
415559,Q58007621
415961,Q23871104
417407,Q51606842
417857,Q57179667
417884,Q21038113
418378,Q55584358
420518,Q50828113
420526,Q52833715
422313,Q16193340
423039,Q55761143
423303,Q30122115
423996,Q47853243
426214,Q53865463
430777,Q449821
433152,Q55081425
436044,Q21170469
437024,Q17090194
438654,Q6377285
438703,Q39945501
439211,Q20727714
439367,Q59434475
444242,Q5372382
444511,Q18326285
445237,Q33112461
445293,Q19956158
446714,Q54552799
447002,Q43078959
448195,Q16217276
448553,Q47131033
449752,Q7145515
449838,Q58797255
451617,Q28039464
451967,Q23771619
452331,Q39900906
452623,Q4953895
453366,Q56461900
454007,Q16197794
455930,Q29642741
456054,Q24521759
456912,Q27469867
458401,Q56728696
458944,Q5919775
460428,Q19596717
460902,Q24851488
460993,Q42907828
461144,Q12972402
461418,Q6302597
462666,Q58008502
464133,Q20090993
464388,Q3850460
464833,Q20873496
465478,Q12965438
466779,Q21067100
467085,Q22958728
467092,Q5524224
468053,Q16578200
469579,Q6285216
470787,Q3326090
471233,Q5092761
471611,Q6174259
472171,Q4706554
473446,Q20090237
473792,Q19267739
474051,Q10577839
475295,Q5823270
476066,Q6015755
476405,Q21196708
476732,Q45402479
478239,Q11978971
478313,Q18390632
479252,Q45710050
480676,Q17612838
480683,Q54807020
484847,Q18704935
486063,Q23879780
486332,Q16297532
487396,Q58316442
487486,Q37391197
488293,Q20716636
490647,Q41776238
491001,Q16244318
491190,Q46010688
491897,Q19421757
492722,Q49655514
493610,Q55281885
494014,Q18211690
494701,Q58096918
495476,Q20740614
496323,Q6209811
496848,Q18356492
496866,Q7147811
497611,Q3165007
498321,Q19660902
499875,Q16120239
500016,Q7173740
500164,Q24060941
501641,Q51895542
501705,Q16982026
502775,Q21064609
504129,Q41675235
506665,Q45480079
506914,Q19683842
508587,Q23761366
508700,Q18544806
508827,Q5181180
509010,Q21934066
509793,Q41796379
509794,Q4977313
509826,Q18016141
510989,Q16440282
512839,Q55375203
513029,Q17022859
514530,Q59204888
514709,Q21547224
515855,Q7373321
515997,Q24851556
516534,Q16570022
516657,Q33076162
516975,Q12969880
516983,Q58226248
517439,Q46996231
518120,Q37993323
518849,Q4821265
518857,Q22279086
519071,Q56493405
519229,Q6286825
519707,Q18358388
521423,Q57313603
521648,Q11855719
521873,Q16442095
521888,Q17040437
523191,Q28662860
523958,Q16225659
524502,Q18057235
526083,Q6289305
527421,Q7026000
527651,Q55081266
528511,Q56073454
528979,Q48803363
529117,Q59557536
529396,Q27063354
530866,Q25222476
531522,Q21170719
531659,Q24053776
532879,Q55361194
533477,Q5112052
533960,Q3193387
536224,Q7292378
537074,Q16398403
537351,Q25209260
537563,Q28137120
537659,Q6397022
537975,Q52346665
539721,Q6774935
540338,Q16864161
540473,Q3130851
540613,Q6766864
540678,Q33133560
541433,Q28408200
541505,Q28377803
543811,Q7635802
544367,Q30323581
544600,Q53108716
544655,Q50555290
546116,Q55847771
548119,Q5606064
548944,Q1174426
549240,Q57585645
550637,Q58812951
551267,Q17055478
553330,Q58340828
553354,Q43075280
554880,Q6872119
556291,Q22276993
556479,Q56273814
557589,Q16551378
557805,Q47120281
559321,Q7876883
560404,Q16232587
561098,Q16150693
562122,Q24874011
562284,Q29349926
563359,Q7789021
564242,Q35785004
564341,Q6384627
564558,Q58175988
564891,Q51544561
565345,Q21558021
565373,Q57663296
566267,Q21153495
568069,Q23417115
568184,Q55956059
568490,Q45787160
568537,Q27057563
570923,Q27662378
571746,Q7301879
572193,Q23136880
572602,Q7807160
573849,Q25529490
574749,Q23664255
575369,Q6828194
575523,Q6397235
577462,Q20443525
578067,Q23068990
579787,Q24007240
580131,Q52889702
580965,Q28062448
582464,Q17517024
582684,Q4899019
583341,Q26922248
584019,Q24006537
584463,Q30122636
584743,Q51631398
587504,Q16198371
587626,Q5248383
591816,Q18921494
591846,Q22087903
592647,Q16734580
593635,Q25345235
593873,Q5534087
594882,Q55169329
594977,Q53113575
598284,Q47088399
599357,Q4717897
600413,Q25756280
601148,Q5238761
601394,Q58478051
602750,Q16736778
603891,Q18217961
605078,Q30930621
605089,Q15999786
605126,Q6363273
605990,Q12969763
608241,Q45292509
609318,Q22976919
609325,Q12962705
609839,Q29613546
611126,Q27926005
613204,Q59204860
614357,Q5606305
614367,Q6408635
614670,Q8991932
615115,Q53952802
615594,Q31093687
617584,Q5292151
618238,Q30729422
618711,Q7340363
619191,Q51048252
619400,Q22006433
620198,Q26234182
621367,Q33444641
625951,Q6701886
626613,Q16208230
628190,Q18719623
628536,Q12895254
628884,Q13403531
629296,Q43955726
629367,Q4961492
630008,Q21002892
630587,Q16244635
631436,Q23068846
632683,Q16548805
633328,Q22278126
634274,Q5606047
634482,Q20630497
635848,Q28203835
637732,Q50776870
638046,Q27523537
639909,Q52009801
642584,Q56283938
643487,Q6242965
643883,Q7172016
645153,Q52842346
646601,Q3242389
649828,Q38640471
650312,Q58494497
651161,Q45625375
655486,Q20675899
655547,Q28054929
655789,Q28812627
655834,Q16886122
656063,Q7689996
656754,Q16185597
659683,Q5524856
660414,Q17371294
661767,Q41798577
662104,Q56249982
663080,Q41430348
663940,Q22958565
664129,Q18354231
664634,Q25999423
666670,Q39074836
666844,Q45369235
668192,Q27058327
668275,Q42649830
671144,Q19977323
672820,Q29571054
675877,Q7000757
676313,Q4756297
677810,Q26844432
678676,Q20588050
682984,Q12967150
683585,Q45428494
684943,Q23771175
685490,Q24833576
687740,Q5232886
688811,Q16210524
690297,Q47108892
690398,Q6963828
690856,Q4766532
691573,Q28421702
692544,Q44070775
694363,Q6451738
695112,Q16212485
695114,Q55819589
695416,Q16028203
695876,Q17071674
697518,Q55639440
699067,Q6836775
699733,Q22349430
700258,Q16136478
701825,Q5229788
702627,Q13183461
703505,Q23984341
705128,Q14948722
705229,Q24994006
705425,Q41137237
708055,Q5660371
708344,Q28418649
709116,Q55624257
713536,Q16214844
714068,Q17194452
714556,Q56882650
714821,Q19833502
715416,Q25095356
716228,Q19664344
717045,Q5248535
717206,Q58174141
717225,Q7804197
718629,Q28124181
720510,Q6257993
720696,Q19423986
724394,Q15991642
724832,Q27662320
724835,Q4896379
726001,Q19955727
728277,Q37642987
729351,Q46410930
729385,Q7803369
729672,Q4792180
731371,Q55814173
731586,Q27975618
733894,Q50300578
735749,Q21064517
735824,Q4888773
735873,Q16205709
737835,Q39070793
739863,Q30688531
742379,Q22097149
742437,Q47034642
743002,Q7291441
744662,Q42533017
745006,Q6525778
745618,Q18685633
745662,Q19872916
745768,Q27734670
746192,Q54010297
746262,Q18223795
746664,Q24661915
746968,Q7358472
747218,Q21932140
747389,Q57076761
747713,Q20714265
750274,Q29961557
750582,Q10361069
752925,Q6409112
753496,Q17017646
753737,Q16229120
754360,Q45370339
755368,Q7343197
755631,Q5048516
756550,Q16211624
756689,Q7323156
757198,Q28028585
757874,Q49476261
759459,Q17486540
759465,Q24006261
761501,Q30501961
762658,Q27527192
762791,Q8062146
762823,Q5225174
763407,Q53557550
764029,Q6136602
766340,Q38640423
767150,Q44147081
767409,Q18350160
767737,Q50345028
767938,Q57040821
769193,Q7609698
771532,Q1690425
772272,Q45488884
774136,Q7245618
775225,Q55080979
775286,Q5539647
778035,Q18685553
778578,Q17192660
779124,Q4963703
781867,Q56289493
782130,Q21592511
782197,Q16927909
782357,Q6139613
782913,Q27969255
783110,Q26251808
783151,Q16215404
785192,Q5292434
786843,Q12972369
789276,Q6778105
789327,Q16733346
791710,Q20810533
792428,Q7348202
793556,Q54170557
798311,Q56846125
799145,Q19868878
799626,Q3544319
800886,Q25349786
801357,Q55363892
802448,Q17403162
802786,Q5229944
803546,Q5716832
804212,Q28967533
804999,Q13562238
807108,Q42320229
809037,Q47469449
810674,Q42696732
812110,Q6317955
813924,Q58035900
815610,Q16337104
815975,Q4216915
816267,Q3703251
817845,Q20090416
818984,Q8003018
822841,Q59306019
823863,Q19059350
827649,Q28325331
831313,Q7027758
831495,Q17239014
833428,Q56559148
834154,Q6114545
835371,Q55489052
836718,Q52146463
836741,Q19561479
839595,Q7143836
843897,Q4709470
844348,Q55236236
845315,Q39025421
845549,Q16229394
847704,Q22019962
848101,Q20658351
848480,Q3386549
849205,Q52627474
849458,Q21061573
850437,Q27964842
851194,Q27835275
852040,Q33528782
852397,Q7156663
853071,Q22957013
854615,Q5563194
855997,Q56877127
856489,Q17371133
856843,Q52445726
858146,Q23887898
861624,Q5648379
861901,Q16728075
862714,Q23761541
863252,Q45060868
863405,Q21062683
863813,Q8065532
863900,Q16186966
865688,Q21005776
866259,Q52909931
867490,Q6289782
867620,Q6173637
871078,Q18631763
871441,Q59306327
872857,Q5402966
873612,Q10293200
873799,Q27736802
874212,Q12500178
874240,Q18218187
875444,Q18009215
875486,Q7360481
881168,Q16106617
884681,Q6809805
885060,Q19664693
885534,Q48410817
886009,Q8002966
886713,Q6832570
888626,Q18593035
889356,Q58146423
889432,Q18206788
889459,Q7341922
893841,Q27662739
894212,Q1563213
895000,Q17627805
898184,Q24963090
899302,Q6757097
900024,Q7375240
900876,Q20606852
901943,Q6173568
906046,Q40119495
906047,Q17371172
907163,Q43125373
907676,Q33139690
908386,Q20687638
910728,Q6551640
912203,Q12964800
913328,Q56224382
914546,Q6791138
917028,Q20677069
918867,Q7823466
919044,Q22082626
919906,Q21932060
919964,Q11530998
920828,Q59391069
920952,Q21066476
921159,Q56289636
928086,Q26922111
928612,Q56226173
929212,Q23073529
929322,Q24233367
930552,Q17306156
930862,Q4772438
931880,Q16245734
932433,Q19956239
933722,Q16194762
934559,Q35859587
934787,Q5068702
935588,Q4820813
936334,Q17319046
938074,Q5488471
938486,Q47029355
938583,Q6838307
938911,Q38023167
939435,Q55709001
939601,Q6389097
939871,Q7407272
940329,Q16727422
940779,Q59306402
941686,Q57313854
942434,Q30505519
943339,Q16197166
943921,Q6316810
945335,Q18593616
945929,Q19662301
946446,Q21070454
949178,Q17404078
949446,Q6376914
949568,Q16258347
950028,Q58582244
950351,Q19630677
953280,Q7343398
953554,Q10296276
954827,Q16081992
955149,Q57584414
955824,Q50125103
956216,Q6557791
957150,Q6288112
959358,Q21228396
963936,Q23887613
964201,Q5982482
964811,Q6967116
965965,Q18719369
967320,Q52016069
968294,Q5240445
968945,Q7648432
971173,Q3618229
972193,Q25414552
972565,Q18221323
972860,Q57078520
973773,Q20793002
974239,Q5041654
976865,Q45170194
977084,Q20685213
978630,Q21285489
981642,Q16196562
981950,Q55314914
982022,Q6384697
982983,Q58040343
984545,Q12963626
987307,Q41800128
990437,Q4960527
992569,Q4859227
992576,Q16662097
993956,Q4960890
994474,Q7436600
995474,Q21872436
997734,Q55183342
999229,Q43177705
1004001,Q42780177
1009883,Q15983391
1011196,Q4961408
1011518,Q2330033
1014141,Q5971685
1014154,Q29473393
1016779,Q6848794
1017181,Q56161732
1019302,Q52008281
1019618,Q16849674
1019864,Q28131360
1020727,Q47035478
1020859,Q45849882
1021684,Q39070190
1022632,Q5108336
1022946,Q33157851
1027538,Q50305395
1031521,Q56073468
1031913,Q55188186
1033445,Q41566715
1034804,Q27576460
1036901,Q16501883
1037926,Q20985705
1039487,Q3187676
1041536,Q59210473
1042597,Q56923675
1043118,Q48946051
1043544,Q27527321
1044574,Q41592226
1044798,Q38620825
1046022,Q23823442
1047605,Q27517674
1047785,Q52151032
1048060,Q21161876
1048481,Q16211781
1048929,Q48559437
1049264,Q24053493
1049464,Q20677093
1049578,Q30101095
1051888,Q26703561
1053965,Q59327745
1060820,Q27972624
1061170,Q4800107
1067147,Q6174859
1067949,Q25095549
1077073,Q58920414
1077631,Q11048062
1081787,Q5373134
1082070,Q18686244
1082154,Q5998272
1082888,Q25575333
1083204,Q56065292
1085096,Q47493096
1087693,Q5115615
1090012,Q6159919
1093013,Q56486443
1094945,Q21165452
1094976,Q20794240
1095639,Q51253140
1095937,Q42401789
1096747,Q54341570
1097579,Q16658066
1098402,Q8001720
1100854,Q20856686
1104145,Q19561400
1104716,Q45474893
1108522,Q16849269
1109195,Q56102798
1109362,Q45563266
1110764,Q22279950
1116161,Q19865346
1116787,Q11539590
1121868,Q19665681
1122268,Q3299761
1129636,Q43078971
1131017,Q6166435
1134987,Q20790948
1138436,Q4682366
1142880,Q46516206
1144533,Q4980064
1146142,Q16192800
1148742,Q58150394
1149185,Q6785824
1150819,Q6527751
1151018,Q52913720
1153995,Q7436369
1154615,Q6387632
1155900,Q16666776
1156903,Q7795442
1159035,Q4964546
1159123,Q29642985
1159506,Q27526132
1160713,Q16934983
1161793,Q16617049
1162286,Q59209400
1167071,Q20090145
1167734,Q22096276
1175800,Q20577729
1179258,Q53111019
1181906,Q10319412
1182409,Q4726233
1182986,Q16983573
1183024,Q55081303
1183813,Q30888099
1186373,Q57292304
1186566,Q16143479
1187498,Q58008068
1187713,Q7613959
1187819,Q58079729
1188821,Q47143723
1191668,Q30348899
1196683,Q10506469
1198952,Q22037458
1199071,Q42336733
1200086,Q24937220
1202522,Q54790546
1203734,Q28136170
1204171,Q33035228
1204562,Q20474373
1204785,Q6143486
1204850,Q22096922
1206028,Q45477447
1208600,Q5536799
1209132,Q58545105
1209152,Q52593484
1212602,Q30323471
1214037,Q12962526
1214819,Q57557552
1215066,Q5107928
1215388,Q16567204
1215927,Q6849211
1217574,Q5097027
1218199,Q25190337
1219931,Q58755498
1221230,Q13122944
1223212,Q22106300
1228437,Q16146158
1229034,Q6179160
1231678,Q45429138
1233670,Q16193069
1234387,Q28534104
1235563,Q53855854
1236843,Q24258789
1239025,Q5919046
1240658,Q40476365
1240673,Q18921970
1242138,Q16729813
1242560,Q5106537
1242982,Q56224190
1243063,Q18638035
