,qids
187,Q19596581
253,Q20790948
513,Q5372382
591,Q2918159
650,Q55433224
782,Q50807968
920,Q18385836
1137,Q7648432
1656,Q52555363
1909,Q5120589
3684,Q24005510
3751,Q49814108
3768,Q12964369
3898,Q16094198
4658,Q16599847
4746,Q53870586
4811,Q17486457
5071,Q47499836
5207,Q6317955
5400,Q16730683
5586,Q6768649
5818,Q16211781
6010,Q20793563
6236,Q38737044
6408,Q22279950
6665,Q20559254
7223,Q22944815
7507,Q4766532
7629,Q22773650
8072,Q17313479
8085,Q22279801
8375,Q47087992
8459,Q6527751
8849,Q39659063
9199,Q20658351
9561,Q18062149
9637,Q5218436
9982,Q21063870
10106,Q20830255
10386,Q5829727
10508,Q55584922
10514,Q23073529
10752,Q1680058
12225,Q5231583
12424,Q1394656
12811,Q43131482
13251,Q4886499
13284,Q51685451
13426,Q56558120
13644,Q27057563
13711,Q22277497
13931,Q24053669
14026,Q23614102
15713,Q16214544
15849,Q16735257
16578,Q45196284
16590,Q23017146
17319,Q51330981
17611,Q28100647
17913,Q20685490
18168,Q20676394
18421,Q6835516
18512,Q4888773
18540,Q7290631
18594,Q17371033
18735,Q7340887
19091,Q7288883
19144,Q19868878
19174,Q48473009
19188,Q5106811
19552,Q10307814
19674,Q12962142
19680,Q8003018
20388,Q20657158
20437,Q58994832
20649,Q6257993
20701,Q6252554
20765,Q16727422
20836,Q3471122
21192,Q50365659
21325,Q25349327
21558,Q4730746
21819,Q17517328
21925,Q27527192
21958,Q3618520
22275,Q21503008
22279,Q22006965
22596,Q47546472
22657,Q6118017
22760,Q18098325
23723,Q16728136
23996,Q23761882
24387,Q7831737
25704,Q7786823
26069,Q12431122
26224,Q47708512
26312,Q7026789
26393,Q2010
26837,Q22105889
27141,Q18719084
27192,Q58619992
27340,Q22773917
29670,Q22344342
29752,Q4933230
30441,Q23417048
30482,Q17026795
31013,Q58065739
31503,Q16567033
31508,Q20577729
31767,Q19956239
31878,Q26923483
32041,Q11861654
33720,Q16733671
33784,Q7348202
33978,Q4886037
34358,Q19872309
34770,Q48471778
34974,Q55375208
35530,Q7282069
35803,Q18685633
36122,Q42393937
36236,Q16218907
36809,Q11299180
37188,Q56751771
37255,Q18390632
37310,Q43394079
37650,Q59162356
38850,Q16241757
39063,Q30323581
39282,Q4828459
39567,Q52274719
39579,Q22107348
39850,Q56867960
40347,Q16736778
40504,Q45421516
40589,Q55363892
40626,Q53865463
40890,Q5239728
42131,Q16214190
42166,Q19889136
42188,Q16671418
42504,Q6788287
42932,Q18593559
43405,Q7822020
43873,Q18813342
44636,Q57955108
45538,Q50828479
45711,Q10329450
46156,Q16194103
46430,Q21130323
47129,Q16194790
47326,Q17239014
47344,Q30348111
47767,Q5606064
47894,Q54086317
48154,Q16245734
48249,Q6810910
48927,Q21497996
49520,Q15485047
49834,Q23808701
49840,Q18223795
49922,Q16203907
50130,Q30110155
50885,Q47130251
51002,Q16244318
51277,Q29786672
51339,Q43384585
53237,Q21642726
53816,Q59600568
54205,Q45060868
54345,Q7407755
54647,Q30688531
54952,Q56849184
55668,Q50776870
55943,Q22121102
56218,Q6317496
56583,Q20684248
56856,Q56062961
57255,Q51840767
57610,Q59603772
57979,Q21393901
58145,Q57415380
58196,Q42889601
58478,Q52008281
58882,Q16732621
59067,Q4961492
59231,Q6285216
59571,Q6183349
59597,Q28201801
60377,Q52084593
60429,Q50038449
61398,Q6159919
61678,Q12962702
61878,Q18098741
61940,Q28421702
62011,Q6114545
62620,Q23728366
62920,Q28793919
63227,Q54170557
63324,Q57040821
63607,Q22959211
64454,Q6834402
64460,Q26211798
64738,Q20684448
65026,Q44547917
65414,Q55814173
66115,Q28136170
66501,Q8003871
67084,Q44641480
67514,Q40742089
67878,Q56695672
68037,Q48699681
68177,Q58494522
68218,Q27663036
69100,Q19325076
69588,Q25095356
69985,Q7292378
70260,Q12964019
70447,Q59306405
70713,Q10393708
70719,Q19873549
71677,Q5120588
71920,Q53870604
71960,Q12968068
72611,Q24950237
73293,Q20675513
73805,Q4210514
74222,Q56064736
75864,Q5113349
76517,Q20684019
76678,Q38023167
77397,Q5224688
77427,Q6369912
77472,Q6257554
77922,Q43078959
78063,Q7815288
78258,Q6134089
78259,Q45421511
78965,Q16146158
79101,Q38013878
80497,Q39060599
82897,Q11978971
84128,Q7925677
84698,Q28317052
84830,Q58754211
87010,Q19975996
87134,Q23023489
88091,Q29613546
88442,Q1002180
88577,Q20684464
88863,Q27975618
89424,Q16733300
89623,Q48700370
90396,Q57292304
92029,Q12967696
93273,Q26097618
93724,Q15983149
93836,Q15109708
94766,Q26924684
94779,Q6067150
95126,Q29014751
96708,Q52162070
97496,Q55633973
97730,Q16849269
97970,Q24088524
98623,Q23765691
98750,Q56254511
98892,Q18630915
98986,Q26209514
99241,Q6369853
99327,Q16091530
99436,Q11935600
99437,Q27662553
100060,Q45402944
100357,Q50861172
101370,Q56868020
101459,Q6262946
101741,Q47469449
101943,Q12491695
102057,Q58147575
102961,Q5107273
103868,Q17627805
104846,Q20744643
106700,Q12499365
107337,Q54368067
107917,Q6200053
108198,Q18593035
108668,Q52835519
109353,Q58035708
110174,Q43177705
110662,Q19518422
110983,Q29033472
111216,Q16769718
112621,Q26924722
112890,Q41137237
112899,Q41675235
113322,Q6724244
113424,Q4682366
113528,Q22662263
113746,Q24005668
113768,Q59491616
113807,Q38640423
114201,Q45477447
114266,Q58494429
115238,Q3838057
115407,Q23907066
116003,Q30643580
116545,Q16217233
116752,Q44307090
116874,Q4758657
117228,Q29938835
117323,Q50985937
117431,Q42907366
117501,Q5112601
117601,Q8068212
117888,Q52586076
