,qids
237,Q21038113
421,Q3973426
1813,Q20793563
1870,Q57242854
2185,Q24565057
2561,Q16208707
2591,Q59203754
3002,Q16218907
3077,Q39659063
3179,Q57446311
3324,Q20685490
3374,Q57293607
3381,Q30501961
3455,Q22113373
3556,Q15109708
3703,Q5213066
3780,Q49655514
3792,Q18593559
4710,Q10393708
4753,Q28421702
4885,Q3487190
5055,Q6252554
5566,Q56846125
5903,Q54624101
6092,Q48790821
6221,Q7340241
6310,Q22773917
6371,Q6067150
6618,Q18813342
6885,Q52610369
6903,Q52084593
7083,Q16214544
7147,Q52556444
7740,Q22279801
7797,Q30123025
7895,Q20793539
8257,Q52009801
8956,Q16094198
9096,Q55955704
9155,Q18057235
9579,Q24238950
9609,Q20676299
9937,Q17712343
9938,Q17104505
10138,Q16671418
10562,Q8039492
11065,Q52627474
11445,Q18098325
11871,Q10326584
12705,Q6261266
12800,Q56876961
13438,Q7279195
14023,Q19948338
14239,Q20676394
14715,Q26251053
15287,Q21934365
15313,Q16886468
15497,Q23541301
15600,Q11855782
15718,Q18126336
15837,Q7807160
16039,Q19665311
16180,Q22019205
16524,Q42211613
16676,Q25040760
17069,Q16736778
17098,Q6828194
17365,Q43131482
17437,Q16095676
17584,Q18097364
18657,Q28100647
19008,Q22281183
19095,Q12964369
20278,Q30235543
20918,Q5079325
20929,Q21005776
21666,Q17224875
21767,Q16214190
21925,Q7244225
21970,Q17239014
22203,Q21064607
22819,Q20684318
23058,Q19043392
23530,Q18226179
23639,Q59268399
23888,Q24521759
24552,Q16548805
24777,Q55375203
24805,Q19956239
25238,Q47117813
25300,Q51253140
25508,Q21165452
25585,Q12972000
26820,Q17371133
26964,Q16936998
27159,Q43078959
28540,Q5218436
28573,Q16599847
29058,Q44641480
29079,Q6501698
29228,Q16733671
29230,Q56073314
29410,Q20984440
29885,Q24088524
29948,Q28013980
30167,Q49561393
30797,Q5240445
30873,Q42709759
31167,Q6381533
31269,Q20830255
32013,Q55940256
32124,Q56747763
32849,Q11332308
33369,Q12969763
33745,Q17489728
33995,Q6795936
35137,Q19518118
35187,Q27527192
35344,Q55375208
35361,Q12962855
35809,Q16150544
36001,Q52008281
36358,Q3763227
36368,Q13534583
36452,Q5606047
36600,Q19560270
