,qids
147,Q29860750
148,Q17627805
449,Q6173568
544,Q16094198
587,Q58098476
995,Q6846495
1370,Q42907366
1701,Q22279801
1926,Q18009215
2066,Q18098741
2870,Q43131482
3948,Q20793563
3973,Q6162938
4475,Q20676299
4944,Q16730683
5298,Q22773650
5748,Q6795936
6210,Q28203616
6220,Q7292054
6565,Q17510176
7500,Q47546472
7530,Q20676394
7549,Q19845144
7570,Q16671418
7657,Q19872309
7956,Q22944815
8161,Q21063870
9044,Q1394656
9326,Q30084306
10077,Q56433951
10502,Q16547462
10887,Q4356920
11057,Q22959211
12117,Q10307814
12510,Q23541068
12907,Q55286428
13212,Q54086317
13471,Q10329450
13520,Q16193340
13955,Q28137120
13980,Q19560672
14460,Q12499365
14540,Q7171982
15006,Q18685655
15427,Q22006965
16002,Q24061165
16307,Q57767728
16905,Q16213260
17018,Q18062149
17725,Q21329031
17981,Q20984210
18235,Q23542615
18457,Q55361194
18623,Q6847195
19327,Q7436309
19489,Q7984028
19558,Q16567033
19666,Q55433224
19954,Q55375203
20097,Q6769289
20181,Q44641480
20498,Q16687118
20916,Q16258347
21166,Q3262534
21275,Q20744643
22267,Q52147431
22416,Q7635802
23047,Q7282069
24532,Q17712343
24574,Q5345014
24684,Q5664440
24707,Q21547224
25031,Q28201801
25352,Q25171701
25781,Q22110845
26348,Q47544219
26702,Q6389097
26956,Q52084593
27503,Q6834402
27711,Q12965150
28223,Q55375208
29392,Q21064384
29526,Q32945384
29540,Q6766723
30733,Q52009801
30834,Q52008281
31161,Q17297604
31590,Q24874011
32237,Q16194492
32601,Q56275125
33246,Q21170719
33924,Q7383860
34020,Q53870535
35240,Q22774568
35357,Q19596717
36163,Q6810910
37844,Q26915334
38799,Q55281198
39070,Q17489728
39391,Q22278126
39833,Q20174975
39905,Q57076761
40074,Q21934365
40078,Q27541580
40083,Q21170694
40485,Q6776750
40538,Q24034409
40707,Q18813342
41015,Q17071674
42873,Q17371033
43501,Q892815
43698,Q29346402
43848,Q19518118
44171,Q6387632
44372,Q16886182
44404,Q45367928
44549,Q21452852
44563,Q21642968
44741,Q18097364
44879,Q59179735
44903,Q59162356
44924,Q18390632
45371,Q21170898
45392,Q21642773
45614,Q16875125
45678,Q16548805
45868,Q17239014
46094,Q28113025
46631,Q6285216
46887,Q20746595
46975,Q21497996
47089,Q59306402
47387,Q56290261
47393,Q6724244
47847,Q28013980
48407,Q24053493
48698,Q43384585
48938,Q57242538
49452,Q12968989
49789,Q26703595
49850,Q21004790
50564,Q23071064
51217,Q29045615
52006,Q15109708
52122,Q21153495
52295,Q17224875
52339,Q16599847
52533,Q44312767
52645,Q16194790
53124,Q28028585
53451,Q45477447
53668,Q55363892
54455,Q10326584
54573,Q50807968
55985,Q6847808
56434,Q22006907
57696,Q56433761
57825,Q7493057
58262,Q50413875
58400,Q16728183
58807,Q22121102
59039,Q56191918
59043,Q54807020
59165,Q6166435
59542,Q19325076
59586,Q5229379
60130,Q55196717
60463,Q56513219
60620,Q58994832
61458,Q19662301
62222,Q42888630
